Wavelength	Name	Ionization Stage	RelInt
203.241	Pt	1	46
203.243	P	1	13
203.244	Cd	2	1
203.246	Nb	3	26
203.251	Rh	1	6
203.263	Be	1	11
203.272	Co	1	21
203.299	Nb	2	1
203.323	W	1	8
203.345	Ni	2	6
203.347	P	1	16
203.350	V	2	3
203.353	Ni	1	9
203.356	Nb	1	7
203.357	Ir	1	28
203.390	W	1	9
203.392	Ag	2	26
203.406	V	1	13
203.444	Ni	1	18
203.444	Os	1	36
203.480	Sn	1	6
203.485	Ni	1	9
203.486	I	1	1
203.500	C	1	13
203.502	N	1	1
203.503	W	2	19
203.506	V	2	13
203.507	Ni	1	11
203.530	V	1	1
203.535	Ni	2	11
203.557	Mo	1	4
203.578	Pt	1	31
203.584	Cu	2	43
203.589	W	2	29
203.621	Mo	1	4
203.622	Cd	2	1
203.639	Sb	1	1
203.643	Fe	2	1
203.647	Pt	2	151
203.659	Co	2	39
203.662	Sb	1	13
203.697	Cu	2	1
203.712	Cu	2	43
203.751	V	2	7
203.758	W	2	22
203.762	Hg	1	1
203.768	Mo	2	23
203.783	V	2	13
203.790	W	2	17
203.795	Nb	2	29
203.800	Cr	1	4
203.801	Mo	2	23
203.846	Mo	2	21
203.849	V	1	17
203.867	Co	1	10
203.875	Ni	1	6
203.885	V	1	13
203.907	V	1	3
203.911	W	2	12
203.929	V	2	16
203.930	Cr	1	26
203.938	W	1	8
203.950	Sn	1	201
203.957	Pt	1	6
203.970	Pt	1	33
203.977	Sb	1	31
203.979	Te	1	61
203.980	W	1	11
203.983	Cd	3	1
203.985	Se	1	1
203.993	Al	2	1
204.000	Zn	2	1
204.011	Zr	1	4
204.033	Pt	1	16
204.066	Sn	1	11
204.069	Fe	2	1
204.086	W	2	6
204.090	As	1	1
204.100	V	1	9
204.113	Ni	1	11
204.120	Fe	1	1
204.134	Fe	2	1
204.145	Mo	2	3
204.145	Pt	1	11
204.146	Ti	2	5
204.158	Pt	2	31
204.171	Ge	1	6
204.180	Cr	2	1
204.196	Bi	1	101
204.218	Hg	1	1
204.300	Co	1	9
204.306	Cr	1	9
204.313	V	1	5
204.318	Nb	2	29
204.323	Ti	2	5
204.336	Mo	1	7
204.352	W	2	19
204.353	Nb	2	28
204.373	W	2	9
204.379	Cu	2	51
204.379	Ge	1	75
204.379	Ge	1	75
204.380	Hg	1	1
204.402	Nb	2	8
204.419	Ir	1	111
204.422	Nb	2	22
204.439	Ni	1	3
204.441	Nb	2	7
204.454	Au	2	1
204.463	Sb	1	11
204.483	Ir	1	80
204.493	Fe	1	7
204.536	Os	1	71
204.547	Mo	2	15
204.556	W	1	4
204.558	Cd	3	1
204.562	Pd	2	101
204.567	O	3	1
204.597	V	1	18
204.598	Mo	2	8
204.657	Sb	1	6
204.698	Cr	2	3
204.709	W	2	18
204.735	Ni	1	20
204.744	Nb	2	5
204.750	C	1	31
204.757	As	1	29
204.765	Cu	2	11
204.804	W	2	20
204.828	Os	1	31
204.830	Ni	1	3
204.839	Al	2	1
204.849	Fe	2	1
204.873	V	2	4
204.902	W	1	14
204.908	Re	1	38
204.911	Ru	2	1
204.911	V	1	3
204.915	Pb	1	9
204.916	Pt	2	26
204.917	Co	2	14
204.935	V	1	3
204.936	Mo	1	5
204.937	Pt	1	46
204.942	Os	1	21
204.945	I	1	1
204.957	Sb	1	31
204.963	W	2	18
204.969	Bi	1	46
204.983	Pt	1	20
204.989	Nb	2	43
205.006	Ti	1	6
205.040	W	2	13
205.058	W	1	1
205.074	Co	2	1
205.082	Ni	1	16
205.103	Fe	2	1
205.116	Ir	1	11
205.121	Zr	2	1
205.125	Rh	1	3
205.129	V	2	1
205.169	Fe	2	1
205.178	V	2	1
205.188	Sr	2	1
205.189	W	1	3
205.204	Ni	1	13
205.215	W	1	1
205.222	Ir	1	13
205.238	V	2	1
205.242	Ni	1	7
205.274	O	3	1
205.293	Hg	2	1
205.310	Sb	1	2
205.313	W	2	17
205.327	Pb	1	13
205.329	Ni	2	29
205.352	Bi	1	3
205.407	Co	1	11
205.430	Cu	2	9
205.432	Ni	2	26
205.441	Cu	2	24
205.446	Ge	1	5
205.453	Ti	2	20
205.461	Hg	1	1
205.468	W	2	30
205.483	Si	1	39
205.485	V	2	46
205.490	Ni	1	43
205.497	Cu	2	51
205.527	Fe	2	36
205.542	Zr	1	36
205.550	Ni	1	46
205.559	Cr	2	136
205.590	Be	1	36
205.601	Be	1	136
205.602	W	2	41
205.605	Pt	2	36
205.653	V	1	36
205.662	Be	1	36
205.687	V	2	36
205.700	Pt	2	44
205.705	Nb	2	40
205.720	V	2	5
205.724	Ge	1	4
205.733	Fe	2	1
205.736	V	2	9
205.737	Ni	2	23
205.751	Zn	2	1
205.768	Bi	1	45
205.779	W	1	13
205.783	Ni	2	17
205.796	Zr	2	5
205.813	Si	1	16
205.829	W	2	17
205.835	V	2	16
205.838	Pt	1	18
205.849	Hg	1	1
205.865	Si	2	21
205.869	Os	1	31
205.878	Os	1	31
205.881	Co	2	31
205.897	Pt	2	21
205.901	Si	2	21
205.968	Pt	1	36
205.979	Pb	1	521
205.989	Pt	2	21
205.992	Ni	1	36
206.020	Ni	1	31
206.027	Nb	3	21
206.064	Ir	1	41
206.073	Ni	1	26
206.075	Pt	1	36
206.117	Ag	1	46
206.119	Si	1	29
206.135	Zr	3	21
206.145	Nb	2	23
206.154	Cr	2	121
206.163	I	1	21
206.163	Pt	2	21
206.169	Os	1	41
206.170	Bi	1	321
206.171	Pt	2	21
206.174	Pb	1	29
206.185	Zr	2	21
206.191	Zn	2	121
206.192	Sb	1	29
206.199	V	2	21
206.200	In	1	21
206.205	W	1	21
206.225	Cr	2	21
206.238	I	1	1
206.238	Ni	1	18
206.249	Cu	2	26
206.277	W	1	6
206.278	Pt	1	41
206.279	Se	1	1
206.303	Ir	1	81
206.311	W	1	11
206.313	V	2	6
206.339	Ni	1	23
206.343	Sb	1	43
206.350	N	3	1
206.361	Zn	2	23
206.367	Fe	2	1
206.367	W	1	4
206.376	Co	2	48
206.389	Zr	2	4
206.396	Mo	1	6
206.399	N	3	1
206.421	Nb	2	33
206.425	Zn	2	1
206.437	Zr	1	3
206.439	Ni	1	18
206.475	V	2	3
206.477	Ca	1	3
206.479	Bi	1	55
206.479	Hf	2	20
206.486	Co	1	5
206.509	W	1	14
206.521	Ge	1	55
206.535	Zr	2	3
206.536	As	1	24
206.546	Cr	2	201
206.552	Si	1	3
206.555	Co	2	46
206.557	W	2	31
206.571	Nb	2	26
206.575	V	2	26
206.591	Ag	2	85
206.600	Fe	2	1
206.604	Cu	1	3
206.632	Cu	2	1
206.641	Ni	2	28
206.647	V	1	4
206.648	S	1	1
206.657	Sb	1	1
206.665	Hg	1	1
206.683	V	2	5
206.692	Pt	1	23
206.708	Zr	2	4
206.711	As	1	14
206.716	V	1	4
206.721	Os	2	51
206.750	Pt	1	46
206.752	W	2	1
206.787	W	2	13
206.792	Fe	2	1
206.793	S	1	1
206.809	Zr	2	3
206.816	Pt	2	28
206.833	Sb	1	304
206.835	Ni	1	3
206.853	V	2	9
206.858	Sn	1	1
206.860	Ni	1	11
206.862	Pt	2	21
206.866	Ge	1	206
206.880	C	1	31
206.880	V	2	26
206.884	Hf	2	25
206.899	Bi	2	13
206.899	Co	1	14
206.904	Ni	1	20
206.950	Ni	1	23
206.970	Bi	1	3
206.978	As	1	22
206.983	Ag	1	14
206.992	Cu	2	1
206.995	Fe	2	1
206.998	Sn	3	1
207.002	W	1	5
207.033	Fe	2	1
207.036	Pt	1	3
207.051	Ir	1	7
207.063	N	3	1
207.078	V	2	1
207.081	W	1	6
207.090	Te	1	31
207.093	Pt	1	19
207.108	Mo	2	7
207.121	W	2	11
207.155	Pt	2	1
207.178	W	1	11
207.182	Fe	2	1
207.202	Si	2	1
207.223	Ni	1	11
207.223	O	2	1
207.243	V	2	11
207.250	Cd	1	1
207.270	Si	2	1
207.283	S	1	1
207.289	Mn	1	16
207.289	Sn	1	1
207.304	Ca	1	3
207.308	Sn	1	1
207.311	Sb	1	6
207.315	Fe	2	1
207.320	Bi	1	11
207.327	Co	1	13
207.342	V	1	6
207.358	Pt	1	20
207.380	Al	2	1
207.394	Cr	1	4
207.400	Cd	1	1
207.400	Pb	1	21
207.403	Zr	3	6
207.412	Ni	2	16
207.419	Fe	2	1
207.431	Mo	2	20
207.450	As	1	21
207.458	Ni	1	3
207.458	Ru	2	1
207.463	W	2	17
207.470	Re	1	15
207.474	Te	1	11
207.479	Se	1	1
207.487	V	2	16
207.490	Zr	1	3
207.514	O	2	1
207.538	Pt	2	31
207.545	W	1	8
207.559	W	2	31
207.561	Ag	2	11
207.568	Fe	2	1
207.596	W	2	16
207.604	Ni	1	11
207.619	Ni	2	5
207.621	Pt	1	10
207.629	Zr	3	3
207.643	Ru	1	5
207.649	V	2	3
207.687	V	2	26
207.695	Os	1	38
207.714	Zn	1	1
207.718	Ni	1	3
207.743	Pt	2	31
207.751	Fe	2	1
207.755	V	2	11
207.780	Bi	2	6
207.780	V	2	21
207.790	K	1	1
207.816	Fe	2	1
207.832	W	2	32
207.865	Cu	2	42
207.876	Ni	2	14
207.896	V	1	5
207.911	W	2	43
207.926	In	2	16
207.930	As	1	4
207.931	Cr	2	3
207.946	Cu	1	16
207.949	Pt	2	16
207.956	Sb	1	11
207.966	W	1	9
207.976	Pt	2	17
207.982	Zn	2	1
207.997	Os	1	51
208.005	Nb	2	19
208.006	Cu	2	9
208.064	Ir	1	63
208.074	V	1	3
208.084	Ni	2	39
208.091	Cu	1	5
208.091	Fe	2	1
208.099	Zr	3	5
208.103	Te	1	81
208.111	V	1	6
208.114	Pd	1	21
208.139	W	1	9
208.157	Al	2	1
208.167	V	1	8
208.168	Mo	2	1
208.202	Si	1	16
208.209	Au	2	1
208.224	Pd	1	21
208.251	Pt	1	16
208.251	V	1	26
208.268	Co	1	29
208.273	Ca	1	3
208.280	Hf	2	24
208.287	Ni	1	28
208.289	Nb	2	32
208.292	Cu	2	7
208.315	Zn	1	1
208.334	Pt	1	28
208.335	Ce	3	26
208.364	Ni	2	13
208.370	W	2	13
208.375	Ni	2	11
208.377	Ru	1	6
208.380	Hf	2	71
208.392	Re	1	14
208.400	Be	1	3
208.412	Fe	1	1
208.412	Ni	1	9
208.427	W	2	13
208.432	Cu	2	5
208.447	Si	1	21
208.448	W	1	11
208.459	Pt	1	56
208.486	Ni	2	26
208.489	W	2	11
208.509	W	1	13
208.522	Cu	1	8
208.525	As	1	16
208.530	Cu	2	28
208.534	Ni	1	18
208.541	Pt	2	16
208.553	Zn	2	1
208.555	Ni	1	7
208.557	S	1	1
208.559	Re	1	31
208.600	Sb	1	1
208.603	Ge	1	5
208.630	Hf	2	13
208.632	V	1	9
208.657	V	1	5
208.660	W	2	9
208.678	Mo	2	13
208.686	Pt	1	24
208.700	Al	2	1
208.709	Nb	1	3
208.731	Be	1	3
208.747	W	2	17
208.752	Fe	3	1
208.758	Pb	1	13
208.761	V	1	9
208.773	Ni	1	9
208.774	Cu	1	3
208.787	Cd	3	11
208.793	Cu	2	31
208.798	Pd	1	21
208.806	Ti	1	1
208.819	W	2	43
208.829	Pt	1	17
208.830	Mo	2	14
208.839	Cd	1	1
208.843	Pb	1	71
208.856	V	1	17
208.871	Pt	2	28
208.877	Hf	2	101
208.882	Ir	1	101
208.889	Zr	1	3
208.893	B	1	116
208.893	Pt	1	12
208.898	Ni	1	31
208.904	Pt	2	16
208.907	Ni	1	31
208.914	W	2	31
208.916	Cr	2	16
208.952	Mo	2	22
208.956	Zr	3	5
208.959	B	1	171
208.974	As	1	7
208.989	V	1	5
208.990	S	1	1
209.000	C	1	31
209.010	Ni	2	29
209.018	W	1	16
209.025	Sb	1	1
209.033	V	2	16
209.038	Fe	1	1
209.038	Ni	1	16
209.047	Co	3	3
209.066	V	1	8
209.086	Fe	1	1
209.089	Ru	1	5
209.090	V	1	5
209.105	Co	3	9
209.107	Rh	2	101
209.120	N	2	1
209.123	Mo	2	19
209.130	V	1	16
209.134	Ga	2	1
209.137	Nb	3	6
209.157	Hg	1	1
209.158	Sn	1	4
209.171	Ni	1	10
209.174	Zr	1	6
209.184	V	2	4
209.213	Mn	1	51
209.235	V	1	6
209.241	Re	2	69
209.244	V	1	11
209.249	V	1	16
209.250	Mo	2	27
209.252	Mn	1	16
209.254	W	1	14
209.263	Ir	1	41
209.263	Pd	1	13
209.280	Co	1	6
209.286	O	2	1
209.286	Zr	1	5
209.308	Nb	1	6
209.311	Mo	2	32
209.328	Nb	1	9
209.339	Mn	1	49
209.340	Co	1	16
209.341	V	1	3
209.355	Ni	2	27
209.360	Cu	2	23
209.366	Fe	3	1
209.380	W	2	24
209.408	Pt	1	3
209.412	N	2	1
209.420	Si	1	3
209.424	Co	2	4
209.425	Ge	1	9
209.430	Al	2	1
209.470	Pt	1	5
209.471	V	1	12
209.475	W	2	29
209.477	Cu	2	9
209.480	Al	2	1
209.504	V	2	7
209.504	W	1	8
209.510	As	1	7
209.512	Ni	1	18
209.513	Au	2	1
209.520	Al	2	1
209.528	Mo	2	30
209.534	V	2	11
209.553	N	2	1
209.559	W	1	16
209.573	Ni	1	28
209.575	V	1	11
209.577	Co	1	18
209.580	Zr	2	101
209.594	V	2	11
209.600	Cd	2	1
209.616	N	2	1
209.616	V	1	8
209.618	Hf	2	251
209.635	V	1	21
209.639	Sn	1	1
209.686	N	2	1
209.702	V	2	9
209.702	Zr	3	5
209.709	Ni	2	40
209.712	Co	2	5
209.712	Re	1	51
209.727	Pt	1	11
209.733	V	1	11
209.743	Pt	2	40
209.749	Ca	1	4
209.751	Co	1	21
209.751	Fe	2	1
209.754	Mn	1	49
209.758	N	2	1
209.760	Os	1	34
209.763	Bi	1	3
209.765	Zn	1	1
209.800	V	2	3
209.808	Fe	1	1
209.811	Cr	1	15
209.814	Au	2	1
209.814	S	1	1
209.818	Fe	2	1
209.823	W	2	31
209.825	W	1	31
209.841	Cu	2	36
209.841	Sb	1	61
209.849	V	1	7
209.859	V	2	3
209.860	W	2	31
209.865	S	1	1
209.872	W	2	6
209.874	Pt	1	16
209.887	W	1	11
209.894	Co	1	16
209.895	Fe	1	1
209.896	Mn	1	11
209.913	V	2	28
209.930	Zr	1	4
209.935	Co	1	11
209.968	Al	2	1
209.986	Zn	2	6
210.014	Fe	1	1
210.020	Ni	2	5
210.041	Cu	1	4
210.046	Cd	3	1
210.051	V	1	11
210.052	Rh	1	103
210.067	W	2	36
210.069	O	2	1
210.078	V	1	4
210.080	Fe	1	18
210.084	Hg	1	1
210.084	Mo	2	32
210.093	Sn	1	1
210.117	V	2	44
210.121	Mo	2	11
210.129	O	2	1
210.132	Ti	2	3
210.158	Pt	2	31
210.167	Pt	1	21
210.169	Mo	2	25
210.177	Zr	1	6
210.187	V	2	6
210.199	W	2	13
210.217	Zn	2	6
210.221	V	1	4
210.235	Fe	1	19
210.281	Ni	2	11
210.290	Fe	1	5
210.299	W	1	4
210.305	Fe	1	4
210.317	W	2	7
210.317	Zr	3	4
210.321	Si	1	9
210.324	Ca	2	14
210.331	Zr	1	8
210.333	Pt	1	29
210.338	Ni	2	4
210.348	Pt	1	14
210.352	V	2	4
210.359	Nb	2	14
210.370	V	2	6
210.376	Pt	2	6
210.387	Ir	1	4
210.429	Mo	2	8
210.436	Ti	2	4
210.456	V	1	5
210.460	Tl	1	1
210.473	Co	1	28
210.478	Cu	2	34
210.489	Rh	1	101
210.502	Mo	2	31
210.506	Pt	2	28
210.511	Cu	1	16
210.525	Cd	1	1
210.534	Co	2	4
210.549	Co	2	3
210.582	Ge	1	4
210.583	Ni	1	16
210.583	Zr	1	5
210.587	Pd	1	23
210.604	Mn	1	41
210.607	O	1	1
210.618	W	2	31
210.626	Fe	1	1
210.632	V	1	4
210.638	Fe	1	1
210.639	Cu	2	3
210.668	W	1	11
210.680	Co	1	28
210.693	W	1	10
210.713	Fe	1	9
210.713	O	1	1
210.719	Ni	1	13
210.720	Te	1	21
210.726	Nb	2	36
210.730	Ru	2	3
210.741	V	2	6
210.747	Hf	2	66
210.750	C	1	11
210.755	Fe	2	6
210.763	Te	1	26
210.765	Pt	2	6
210.795	Ni	2	8
210.804	Mo	2	9
210.814	Fe	3	6
210.820	Fe	1	11
210.834	Nb	2	8
210.855	Zr	1	12
210.873	Mo	2	8
210.896	Fe	1	16
210.898	Co	1	21
210.899	Ni	2	6
210.910	Fe	2	6
210.920	Co	1	11
210.922	Re	1	106
210.927	V	2	6
210.938	Ir	1	9
210.942	Zr	1	8
210.943	Nb	2	21
210.949	Pt	1	21
210.958	Mn	1	46
210.961	Fe	2	6
210.965	Zr	2	11
210.966	Pt	1	21
210.977	Ni	1	16
210.978	Cu	1	8
210.986	Fe	1	6
210.994	Mo	2	10
210.995	V	1	6
211.004	Nb	2	9
211.023	Fe	1	9
211.026	Bi	1	301
211.031	Cu	2	1
211.034	W	2	36
211.035	Pt	2	21
211.050	V	1	3
211.053	Zr	1	9
211.057	Mo	2	8
211.061	V	2	3
211.068	Au	2	61
211.072	Fe	2	1
211.098	Nb	1	4
211.104	V	2	5
211.114	W	1	6
211.118	Mo	2	29
211.121	Nb	1	6
211.127	Fe	1	1
211.130	Cu	2	1
211.141	Co	1	11
211.146	Co	2	16
211.159	Cd	3	1
211.172	Ni	3	35
211.174	Pb	1	29
211.208	Pb	1	16
211.209	Cu	2	56
211.232	Nb	3	9
211.241	Ni	2	6
211.267	W	1	4
211.276	Ca	2	36
211.285	W	1	9
211.297	Fe	1	11
211.299	As	1	56
211.308	Fe	1	5
211.308	Nb	2	31
211.315	Ca	2	1
211.320	C	1	6
211.329	Ni	2	6
211.336	Hg	1	1
211.336	Mo	2	6
211.353	Co	1	15
211.358	Ni	2	49
211.383	Ag	2	171
211.386	Mo	2	5
211.389	Ru	2	1
211.393	Sn	1	31
211.404	V	2	16
211.422	Pt	1	7
211.425	Re	2	1
211.431	V	2	1
211.432	Mo	2	4
211.441	Co	3	5
211.441	Ni	1	19
211.459	Fe	1	9
211.463	Si	1	5
211.477	Nb	2	3
211.502	Pb	1	31
211.511	Mo	2	5
211.517	Fe	1	9
211.533	Co	1	13
211.543	Mo	2	3
211.557	Pt	2	11
211.630	W	1	5
211.636	Hg	1	1
211.639	Nb	2	21
211.663	W	1	12
211.668	Yb	2	259
211.676	V	1	4
211.677	Mo	2	25
211.684	Co	1	13
211.694	W	2	24
211.696	Fe	2	1
211.703	Ti	1	6
211.725	Mn	1	11
211.725	Sb	1	15
211.727	V	2	11
211.730	Cu	2	23
211.747	V	2	14
211.753	Cr	3	51
211.772	Ir	1	61
211.783	Mo	2	16
211.795	Co	2	8
211.796	Os	1	101
211.803	W	2	16
211.812	Zn	1	1
211.819	Fe	2	1
211.835	W	2	3
211.838	Cu	2	5
211.843	V	2	16
211.848	Sb	1	41
211.850	Co	1	7
211.856	Ni	1	11
211.868	Ca	1	6
211.883	V	2	16
211.887	Nb	2	31
211.887	W	2	31
211.892	Tl	1	4
211.905	Fe	2	4
211.906	Nb	2	4
211.912	Fe	1	4
211.914	Zr	1	14
211.915	V	2	4
211.919	Co	1	9
211.921	Rh	2	8
211.956	V	2	4
211.963	Nb	2	7
211.971	Mo	2	6
211.974	Zr	1	6
211.979	Os	1	129
211.988	Pt	1	19
211.990	Co	1	14
212.011	Zr	2	6
212.035	W	2	6
212.042	Cd	1	1
212.045	Ag	2	86
212.052	Nb	2	11
212.070	Co	1	13
212.070	Ni	1	7
212.091	Ag	2	16
212.097	W	1	9
212.122	Si	1	8
212.140	Co	1	4
212.140	Ni	1	29
212.141	Zn	2	1
212.154	V	2	4
212.159	W	2	9
212.166	Nb	3	13
212.188	Mo	2	13
212.194	Fe	1	7
212.194	Ti	1	6
212.213	V	2	5
212.225	Ni	1	11
212.238	Hg	1	1
212.256	Pt	1	26
212.274	Nb	1	16
212.297	Cu	2	66
212.299	Si	1	11
212.330	Mo	2	26
212.332	S	1	1
212.334	V	2	36
212.336	Al	1	1
212.350	Zn	2	1
212.354	Ti	1	7
212.360	V	2	11
212.377	Si	1	1
212.404	Zn	2	1
212.409	S	1	1
212.410	Cu	1	3
212.410	Mo	2	27
212.411	Ni	1	31
212.411	V	1	12
212.412	Si	1	251
212.434	Nb	2	11
212.458	Hf	2	131
212.460	W	1	9
212.474	Ge	1	4
212.481	Ni	1	29
212.484	Mo	2	18
212.501	Fe	1	31
212.504	Ce	1	11
212.509	Cu	2	21
212.511	Co	1	11
212.512	Ni	2	30
212.514	Zr	1	6
212.521	Nb	2	56
212.524	Cu	2	5
212.529	Au	2	31
212.532	Co	1	6
212.540	S	1	1
212.550	Ag	2	26
212.562	Ni	1	18
212.566	Cd	2	1
212.570	Be	1	11
212.580	Be	1	11
212.583	V	1	5
212.586	Co	2	3
212.590	Ni	2	30
212.592	Mo	2	33
212.594	Co	1	6
212.603	Cu	2	51
212.609	Ti	1	6
212.619	Co	1	6
212.653	Zr	1	3
212.654	Nb	2	66
212.658	V	2	16
212.663	Au	1	7
212.674	Yb	2	288
212.681	Ir	2	226
212.681	S	1	1
212.684	Ni	2	28
212.693	V	2	14
212.713	Cd	1	1
212.714	Co	1	11
212.726	Mo	2	19
212.737	V	2	6
212.739	Sb	1	41
212.741	Pt	2	28
212.743	W	2	15
212.777	Ni	2	21
212.787	Fe	1	6
212.791	Ni	1	16
